Ciudad,Región,Canal,Programa,Horario,Enlace
Sydney,NSW,Nine,Destination WA,12:50 AM,https://tvguide.9now.com.au/program/destination-wa/157711/
Sydney,NSW,Nine,TV Shop - Home Shopping,1:30 AM,https://tvguide.9now.com.au/program/tv-shop-home-shopping/184500/
Sydney,NSW,Nine,TV Shop - Home Shopping,2:00 AM,https://tvguide.9now.com.au/program/tv-shop-home-shopping/184500/
Sydney,NSW,Nine,TV Shop - Home Shopping,2:30 AM,https://tvguide.9now.com.au/program/tv-shop-home-shopping/184500/
Sydney,NSW,Nine,TV Shop - Home Shopping,3:00 AM,https://tvguide.9now.com.au/program/tv-shop-home-shopping/184500/
Sydney,NSW,Nine,TV Shop - Home Shopping,3:30 AM,https://tvguide.9now.com.au/program/tv-shop-home-shopping/184500/
Sydney,NSW,Nine,Believer's Voice of Victory,4:00 AM,https://tvguide.9now.com.au/program/believers-voice-of-victory/172573/
Sydney,NSW,Nine,Fishing Australia,4:30 AM,https://tvguide.9now.com.au/program/fishing-australia/138258/
Sydney,NSW,Nine,Today Early News,5:00 AM,https://tvguide.9now.com.au/program/today-early-news/428725/
Sydney,NSW,Nine,Today,5:30 AM,https://tvguide.9now.com.au/program/today/100687/
Sydney,NSW,Nine,Today Extra,9:00 AM,https://tvguide.9now.com.au/program/today-extra/134254/
Sydney,NSW,Nine,9News Morning,11:30 AM,https://tvguide.9now.com.au/program/9news-morning/426816/
Sydney,NSW,Nine,Married at First Sight,12:00 PM,https://tvguide.9now.com.au/program/married-at-first-sight/311372/
Sydney,NSW,Nine,Pointless,2:00 PM,https://tvguide.9now.com.au/program/pointless/325129/
Sydney,NSW,Nine,Tipping Point,3:00 PM,https://tvguide.9now.com.au/program/tipping-point/331700/
Sydney,NSW,Nine,9News Afternoon,4:00 PM,https://tvguide.9now.com.au/program/9news-afternoon/426775/
Sydney,NSW,Nine,Tipping Point Australia,5:00 PM,https://tvguide.9now.com.au/program/tipping-point-australia/426483/
Sydney,NSW,Nine,9News,6:00 PM,https://tvguide.9now.com.au/program/9news/426774/
Sydney,NSW,Nine,A Current Affair,7:00 PM,https://tvguide.9now.com.au/program/a-current-affair/131990/
Sydney,NSW,Nine,Married at First Sight,7:30 PM,https://tvguide.9now.com.au/program/married-at-first-sight/311372/
Sydney,NSW,Nine,Dangerous Lies - Unmasking Belle Gibson,9:10 PM,https://tvguide.9now.com.au/program/dangerous-lies-unmasking-belle-gibson/434778/
Sydney,NSW,Nine,9News Late,10:10 PM,https://tvguide.9now.com.au/program/9news-late/427243/
